route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::00F2577A-6A87-42E0-95F3-07351E4BC2F6:,1187,P53,Bening - Sarreguemines,,3,,006600,FFFFFF
FR:Line::00F7208C-CEBC-4521-A792-6EC3ABB65811:,1187,C30,Saint-Étienne - Roanne,,2,,0749FF,FFFFFF
FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,1187,C6,Marseille - Toulon - Hyeres,,2,,0749FF,FFFFFF
FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,1187,C8,Montpellier Saint-Roch - Avignon Centre,,2,,0749FF,FFFFFF
FR:Line::022B77D9-D121-4DCB-B808-FB2F7931866B:,1187,C20,Nantes Cholet Angers Saumur,,2,,0749FF,FFFFFF
FR:Line::023E7996-4B13-4AA2-9747-AF12EBC8C197:,1187,P57,Nouan le Fuzelier - Lamotte Beuvron - Romorantin (Car),,3,,006600,FFFFFF
FR:Line::02534A5F-903C-454E-A24F-E6E2E23B3CBF:,1187,P13,Ambérieu - Mâcon,,2,,006600,FFFFFF
FR:Line::02D330A2-2167-400E-BE91-0B5990BA287B:,1187,C6,Nantes - Clisson,,2,,0749FF,FFFFFF
FR:Line::02d5964c-e093-4632-85b2-817c41cfa6bb:,FR:Authority::7A842934-E342-4D4F-AF8D-8B4C404FFBC4:,A14,Nantua - Saint-Claude,,3,,006600,FFFFFF
FR:Line::0312E125-B6BC-404C-A7D1-C1600D4CACAF:,1187,K1,Toulouse Matabiau - Brive La Gaillarde,,2,,BF005F,FFFFFF
FR:Line::03398D75-5B60-4588-BC05-9985E599BA20:,1187,R16,Ussel - Bort Les Orgues,,3,,006600,FFFFFF
FR:Line::0359c353-2f81-4c49-a269-bc287ff237e0:,1187,L22,22. Limoges - Uzerche - Brive,,2,,3E844C,FFFFFF
FR:Line::03A83359-7D9D-4301-9C87-92FED4666451:,1187,K3+,Paris - Deauville,,2,,6E1E78,FFFFFF
FR:Line::03E1BDEA-B40B-48F0-A7B5-330EBD3C552F:,1187,K72,Reims - Dijon,,2,,BF005F,FFFFFF
FR:Line::04343a9d-34d6-4020-b500-2501e4609400:,1187,C33,Sarrebourg - Strasbourg - Sélestat,,2,,0749FF,FFFFFF
FR:Line::0437790b-b672-4080-bc26-d4e5f241db34:,1187,E06,RE Annonay / Grenoble Gare,,3,,006600,FFFFFF
